VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4209201,2248,0.18,52.75,96.38,58.02,0.84,100,98.07,1529.18,12.28,1.16,34.08,8.83,1351,11.44,0.39,87.55,61277.74,32.56
4209300,164981,0.43,98.22,82.8,96.69,79.8,99.52,99.27,1602.05,10.18,6.24,50.77,17.23,77940,12.62,0.54,86.2,41846.27,62.55
4209409,42785,0.1,78.85,87.51,87.59,50.49,99.85,99.7,1069.54,10.77,5.27,44.54,9.78,24552,12.42,0.44,86.61,23556.74,128.38
4209458,1702,1.11,43.49,98.97,58.73,4.62,100,92.12,755.9,11.16,4.85,35.14,10.41,821,13.62,0.44,85.5,42366.11,26.05
4209508,7932,2.34,72.85,95.85,70.59,48.67,100,94.86,1054.46,9.43,1.7,38.85,9.33,3745,13.88,0.36,85.26,62169.55,99.98
4209607,14381,0.01,77.3,93.79,77.01,52.53,99.92,98.71,1041.17,9.75,3.13,46.84,8.86,6899,17.04,0.37,82.44,27226.41,52.9
4209706,11472,-0.26,63.54,97.16,70.86,30.38,99.38,77.62,429.47,9.11,19.27,26.07,4.82,5610,18.7,0.45,81.03,34381.16,12.18
4209805,3330,-0.09,24.37,97.37,25.55,10.85,100,66.89,452.3,8.27,7.03,21.37,5.47,2006,17.48,0.49,82.06,40465.25,11.34
4209854,4549,-0.17,41.58,98.05,55.77,9.53,99.82,94.69,498.2,9.46,4.68,34.24,4.86,2860,12.96,0.43,86.11,33533.32,23.92
4209904,12873,1.92,68.47,91.74,70.1,56.04,99.96,97.02,706.84,9.63,2.79,25.07,5.93,6186,17.25,0.37,82.26,37301.37,65.15
4210001,11684,0.97,31.19,92.97,31.4,37.55,99.92,97.44,974.77,8.84,1.67,30.71,7.67,6322,12.57,0.44,86.47,59391.43,44.92
4210035,5794,0.28,76.05,89.64,80.8,69.22,99.91,94.14,1614.57,11.45,0.85,47.27,15.05,3232,11.98,0.43,87.04,51550.66,49.48
4210050,1778,-0.22,27.44,98.61,36.73,11.11,99.07,80.71,492.62,10.23,6.53,21.49,4.35,958,18.7,0.39,81.03,33661.59,6.81
4210100,55286,0.37,78.09,92.06,81.6,5.32,99.48,88.58,1182.91,11.38,5.4,43.22,10.9,29317,11.66,0.49,87.34,43817.87,39.38
4210209,3214,-0.17,38.09,98.92,34.02,2.16,98.67,99.25,444.53,8.56,8.26,25.44,5.5,1909,17.48,0.52,82.06,17931.82,10.5
4210308,7425,-0.06,39.59,97.95,38.48,22.97,98.58,63.17,332.57,9.66,17.28,30.32,6.71,3587,17.58,0.46,81.98,36581.74,14.26
4210407,7815,1.67,66.46,97.81,57.03,38.7,99.96,98.69,706.86,11.51,2.51,40.45,7.99,3600,13.35,0.5,85.75,36595.2,124.24
4210506,28251,2.06,81.84,82.45,90.95,5.41,99.95,91.65,1355.9,9.59,2.14,45.16,13.27,13559,11.17,0.45,87.81,67792.65,165.85
4210555,2184,-0.07,34.5,99.6,45.15,0.13,99.87,91.64,702.65,11.66,2.65,29.87,6.76,1282,13.25,0.41,85.84,57602.29,20.96
4210605,17162,1.28,51.83,93.28,36.4,47.74,99.87,98.16,1163.86,10.76,1.47,39.76,7.77,9308,12.76,0.34,86.3,43380.49,45.83
4210704,2761,-0.23,51.6,98.96,54.36,29.46,99.59,73.76,482.61,9.66,19.28,21.13,4.62,1502,16.18,0.45,83.19,25628.34,6.34
4210803,7006,-0.01,52.13,95.79,49.52,41.33,99.92,86.17,979.73,12.16,2.12,38.96,10.54,4133,18.47,0.41,81.22,48697.4,37.58
4210852,2511,-0.01,47.83,96.45,41.91,38.69,99.78,90.35,598.67,11.06,7.94,28.66,7.02,1387,17.18,0.39,82.32,39625.65,7.43
4210902,4080,0.05,66.55,92.88,76.36,3.98,100,87.26,896.7,11.1,3.58,36.2,7.83,2602,11.17,0.43,87.81,40285.25,44.18
4211009,10066,-0.11,61.63,93.47,82.77,2.22,99.95,89.03,1040.98,10.08,6.09,38.13,8.23,6844,12.07,0.4,86.95,90503.33,50.26
4211058,9117,-0.2,86.73,97.32,90.97,72.84,99.21,93.5,348.59,9.64,12.36,24.75,7.55,4128,18.97,0.45,80.81,23468.47,47.66
4211108,7736,-0.48,58.1,98.95,56.24,10.5,98.95,88.27,504.91,10.77,15.25,24.77,5.73,3950,16.59,0.44,82.83,28731.69,13.8
4211207,18537,1.17,85.97,90.27,89.58,82.89,99.95,99.36,886.08,11.04,2.08,33.28,7.32,9027,16.72,0.36,82.72,50954.44,223.83
4211256,3010,0.34,26.16,97.79,59.56,8.64,100,98.16,683.99,9.42,7.01,18.33,7.51,1802,14.61,0.51,84.59,50318.4,11.57
4211306,86401,3.01,94.79,81.51,93.5,83.4,99.9,99.78,932.41,9.61,5.19,39.33,8.29,30573,12.28,0.41,86.75,71643.41,775.75
4211405,5155,1.57,75.11,91.25,80.04,4.8,100,93.76,759.31,12.03,2.61,37.25,8.62,2886,14.26,0.44,84.91,47845.46,79.2
4211454,4536,0.49,35.86,96.44,49.05,2.32,99.88,65.86,568.17,9.34,8.15,28.21,6.05,2382,12.04,0.55,86.98,43777.23,33.02
4211504,13727,0.99,74.89,94.04,69.71,54.84,99.96,95.43,897.42,9.74,2.54,32.85,8.33,7530,10.83,0.35,88.14,46066.99,34.07
4211603,13664,0.22,67.07,94.91,83.16,51.31,99.92,98.42,998.18,10.62,1.32,40.9,9.42,7368,12.61,0.39,86.43,69255.25,46.31
