id_municipio,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
3132404,3288441,588791,16019,811051,1420387,452193
3137106,242527,10271,117110,22160,54483,38502
3143609,51051,1433,19694,1426,9338,19159
3146305,213919,12243,7324,13446,86290,94617
3153103,67716,2426,16730,2960,17970,27630
3154606,5181711,741264,4918,649676,2325690,1460163
3162708,285080,14778,67860,16133,75822,110487
3165560,36665,1160,6345,2806,9966,16388
3171600,131604,6287,9140,5395,45296,65484
3108008,445078,44054,85114,35749,200497,79664
3111101,536834,36167,176588,31220,196284,96576
3112802,328449,33888,48236,25805,166746,53774
3113404,2283288,274854,104001,296595,1186184,421655
3114402,694617,42603,239318,96427,213516,102753
3117306,1318367,125666,415017,208114,425852,143718
3121001,73964,3205,16494,2909,21325,30032
3127370,49908,2891,6545,1380,17413,21679
3134608,297901,20296,19439,16574,144704,96888
3147303,592590,109282,18500,140119,223076,101613
3155504,906353,44021,539565,41498,210567,70703
3156205,114736,16039,3476,47719,31586,15916
3111705,77460,2544,30615,2233,15759,26309
3117009,68129,2725,6389,2188,20112,36714
3125903,147924,9469,29183,5441,57175,46656
3128709,2806366,522122,51222,553429,1424581,255011
3140803,628205,139689,4083,154336,254971,75126
3144300,808599,84546,45108,127511,381715,169719
3144375,75129,4560,16416,2939,28561,22654
3154804,472471,11327,772,270323,119188,70861
3103405,520019,36397,24701,53312,243040,162569
3104809,89041,7165,17997,3213,33740,26926
3106309,2114722,178127,16550,1436167,338456,145421
3107208,80221,3922,18012,4749,25665,27873
3134103,122207,12761,27189,5171,42139,34948
3137700,399673,36994,80201,17161,168163,97155
3139300,243371,13478,37042,10545,88112,94194
3142304,76842,6630,3906,4506,34832,26967
3143401,606448,69793,41812,94869,272258,127716
3145000,1116305,55270,372826,350835,242568,94806
3146552,58645,1578,10512,2030,11313,33211
3152006,1170187,117406,266488,200187,428883,157223
3154200,207535,12802,48273,18135,76519,51805
3156403,271547,7648,182797,16209,42848,22045
3156601,111720,3748,12999,3585,35602,55785
3157609,59942,2681,18606,1909,13254,23493
3159605,1944614,431669,72424,602727,626177,211618
3162658,44646,1259,7957,892,9455,25083
3172004,1351679,182175,16197,460552,492261,200494
3106408,279906,9902,30221,114670,66057,59055
3110202,97321,8968,17233,19180,27794,24146
3113305,639260,40146,42749,64513,336145,155707
3115300,1651609,241364,18176,309054,743335,339681
3118304,3118549,279658,21354,642204,1555904,619428
3129103,180809,5875,109750,4040,29847,31296
3129707,728305,33858,138203,344492,137421,74332
3132107,226363,15313,31303,13426,73557,92763
3132800,35922,1806,6428,760,11109,15818
3136652,1437155,272147,4005,564343,428318,168343
